Transaction, Token Contract, Token Address
0x248db522b9208f6a40e2be6ba0b2decf2e0cc61a92ab298b9d835f22d43b6874, 0x6b3595068778dd592e39a122f4f5a5cf09c90fe2, SushiToken (SUSHI)
0xc978c9012c9cc04e3d566188e6d03368b24087255818ba0e5e62bdab1df57513, 0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2, Maker (MKR)
0x7d1cb1250c0776fd74ca03bedc5c61f8d1d4d15aaea6b0855556f3ab38fc4164, 0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI)
0x1443663caa180334cf1208799297734aa15562135cf47b84a8c8112c581921de, 0x2260fac5e5542a773aa44fbcfedf7c193bc2c599, Wrapped BTC (WBTC)
0x9c844a1bc56df95eb38c4b17f9977af653ea657cd5384060eab6d5c7c2a8d0f6, 0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI)
0xde20efece861d4a5321a976d03e3159fb020ff1e79a843447363433bee44b64a, 0x178c820f862b14f316509ec36b13123da19a6054, Energy Web Token Bridged (EWTB)
0x1e35e899109d81b56a26fec5e7e50925c02f02a6b9bcb1c6c241b52846d23563, 0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI)
0x06101a2c0b2edb6d0948aca24bacc448fee1dae80f87b639d63142cec9418a90, 0x514910771af9ca656af840dff83e8264ecf986ca, ChainLink Token (LINK)
0x7612ca42abce5747b74be412eaae428936b060419e313f2d2751a9a8d60cc305, 0x8400d94a5cb0fa0d041a3788e395285d61c9ee5e, UniBright (UBT)
0x9cfe8fc2f343d93bdfb9b8fd30d89ba089f2e19ba4c47d3ef065ffc43731ba55, 0x514910771af9ca656af840dff83e8264ecf986ca, ChainLink Token (LINK)
0x8ae4685748f690b919d7b4af5dc9e6a7c63c4e6d15e966c4ae2b9c2389f04261, 0xba11d00c5f74255f56a5e366f4f77f5a186d7f55, BandToken (BAND)
0xa7277d0e008005c5852c9429697f158827c138cfee8474d8fdb30dc5d31f0323, 0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI)
0xadb29de88e4978cbb00860019fcd7ccf504ba45c08d6057067ab6985c5b60e77, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, USD Coin (USDC)
0xadb29de88e4978cbb00860019fcd7ccf504ba45c08d6057067ab6985c5b60e77, 0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI)
0xadb29de88e4978cbb00860019fcd7ccf504ba45c08d6057067ab6985c5b60e77, 0x8207c1ffc5b6804f6024322ccf34f29c3541ae26, OriginToken (OGN)
0xb3e50f8ab78990cab40034a3a1f6e68360d19c5be55b644972e1eea87edde14d, 0x514910771af9ca656af840dff83e8264ecf986ca, ChainLink Token (LINK)
0x1c383eee658e040c90f5776694f63f279d49d4abcc30eaf2a3bd1e25567d55ce, 0xdac17f958d2ee523a2206206994597c13d831ec7, Tether USD (USDT)
0x434b38f8b40b5d2ce6be9871d063cae7c823baf43c669079396cfa3e2bb23494, 0x514910771af9ca656af840dff83e8264ecf986ca, ChainLink Token (LINK)
0x54fef81c62c0bd9a5c7496fc0728a09abb8118d32d56541c97404881b3f4f6f4, 0xba100000625a3754423978a60c9317c58a424e3d, Balancer (BAL)
0x324bef1fd3b340faea6acdf8457631ae470b5ccbcaf18e4f8a17b588304869ad, 0x2260fac5e5542a773aa44fbcfedf7c193bc2c599, Wrapped BTC (WBTC)
0x324bef1fd3b340faea6acdf8457631ae470b5ccbcaf18e4f8a17b588304869ad, 0xeb4c2781e4eba804ce9a9803c67d0893436bb27d, renBTC (renBTC)
0xde7534ba550fd0f7cd61f3ec469904b6ade93ed1ea9d20ac00c390a0733a6e8f, 0x514910771af9ca656af840dff83e8264ecf986ca, ChainLink Token (LINK)
0x26403a31686703249daf4d8c6367ca159ce76629ed0fdf37aa54bc2987f5ba9a, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, USD Coin (USDC)
0x6c7ecaca525ae7360b3c507ab98245aaee36a330857e3a334112c722fe583d10, 0xe41d2489571d322189246dafa5ebde1f4699f498, ZRX (ZRX)
0x4ccfff79babb5ed4ef71bf7804195d2c5640a068d2833e359c5c3a3ba3b19f93, 0x514910771af9ca656af840dff83e8264ecf986ca, ChainLink Token (LINK)
0xdb95486841595a6ca124fce1ea5768b54dca329e9a5648df844b3aebc3c3f694, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, USD Coin (USDC)
0x16d1a7774be1a7a0d9d2a410023bf69ec98e90bead24dced7533411b96690139, 0xdac17f958d2ee523a2206206994597c13d831ec7, Tether USD (USDT)
0x9b206dcd40e17c4be775208173cb15f111b32ea80861de09f3555e91a9d95ffa, 0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI)
0x9b206dcd40e17c4be775208173cb15f111b32ea80861de09f3555e91a9d95ffa, 0xba100000625a3754423978a60c9317c58a424e3d, Balancer (BAL)
0xc45464e1dc684e73c88c721d8f74d90933aa82a8c8ffad083677121ca464fbf0, 0x514910771af9ca656af840dff83e8264ecf986ca, ChainLink Token (LINK)
0xa87899a7b36835329920192add0999341e66d0e4d069a9f602681a96b66e74a1, 0x6b175474e89094c44da98b954eedeac495271d0f, Dai Stablecoin (DAI)
0x6c2558bbc2fe4a02acf0e5a811b2c3c4290c17df2e97fd820d48d95bbb0b748f, 0xba100000625a3754423978a60c9317c58a424e3d, Balancer (BAL)
0x414462dafc1878e73957e2083cae9c2014fa0b68b5f97afea59e1a39e31db3d8, 0x0d8775f648430679a709e98d2b0cb6250d2887ef, BAT (BAT)
